year,last_name, first_name,pitcher_id,team_name,team_name_abbrev,pitch_hand,avg_speed,pitches_thrown,total_pitches,pitches_per_game,pitch_per,pitch_type,pitch_type_name,pitcher_break_z,league_break_z,diff_z,rise,pitcher_break_x,league_break_x,diff_x,tail,percent_rank_diff_z,percent_rank_diff_x
2021,Rodriguez, Eduardo,593958,Red Sox,BOS,L,92.6,1085,2721,16.796296296296298,0.39875045938993015,FF,4-Seamer,17.1,-15.7,-1.3,-9,7.3,-7.4,-0.2,-2,0.2494061757719715,0.42992874109263657
2021,Valdez, Framber,664285,Astros,HOU,L,92.5,1079,2090,12.901234567901234,0.5162679425837321,SIFT,Sinker,27.2,-22.5,4.7,21,13,-14.9,-1.8,-12,0.9344262295081968,0.18442622950819673
2021,Morton, Charlie,450203,Braves,ATL,R,95.5,1074,2987,18.5527950310559,0.35955808503515235,FF,4-Seamer,17.5,-14.6,-2.9,-20,13,-8.2,4.8,59,0.09263657957244656,0.9382422802850356
2021,Kaprielian, James,621076,Athletics,OAK,R,93,1069,2024,12.493827160493828,0.5281620553359684,FF,4-Seamer,16.3,-15.3,-1,-7,8.5,-7.2,1.3,18,0.3159144893111639,0.6294536817102138
2021,Shaw, Bryan,543766,Indians,CLE,R,92.8,1063,1367,8.438271604938272,0.7776152158010241,FC,Cutter,25.2,-22.8,-2.3,-10,4.7,2.1,2.6,121,0.224,0.88
2021,Javier, Cristian,664299,Astros,HOU,R,93.5,1057,1792,11.061728395061728,0.58984375,FF,4-Seamer,13.4,-15.7,2.3,15,7.9,-7.9,0,0,0.9239904988123515,0.4655581947743468
2021,Gonzales, Marco,594835,Mariners,SEA,L,88.4,1054,2324,14.345679012345679,0.4535283993115318,SIFT,Sinker,17.5,-24.4,-6.9,-28,11,-14,-3,-21,0.00819672131147541,0.0778688524590164
2021,Keller, Mitch,656605,Pirates,PIT,R,93.8,1054,1858,11.469135802469136,0.5672766415500539,FF,4-Seamer,15.3,-14.7,-0.7,-5,6.6,-6.9,-0.3,-4,0.3847980997624703,0.4180522565320665
2021,Lynn, Lance,458681,White Sox,CWS,R,94,1051,2608,16.098765432098766,0.40299079754601225,FF,4-Seamer,16,-15.2,-0.8,-5,6,-7.8,-1.8,-23,0.36104513064133015,0.26365795724465557
2021,Gausman, Kevin,592332,Giants,SF,R,83.6,1044,3002,18.530864197530864,0.34776815456362425,FS,Splitter,37,-35.5,1.6,4,12.3,-10.6,1.8,17,0.8529411764705882,0.8529411764705882
2021,Corbin, Patrick,571578,Nationals,WSH,L,80.7,1042,2750,16.97530864197531,0.3789090909090909,SL,Slider,41.6,-41.8,-0.2,0,3.5,6.7,-3.1,-47,0.4702702702702703,0.1837837837837838
2021,Wainwright, Adam,425794,Cardinals,STL,R,73.4,1040,3068,18.938271604938272,0.3389830508474576,CUKC,Curveball,66.5,-63.6,3,5,16.6,10.7,5.9,55,0.7114624505928854,0.9644268774703557
2021,Keuchel, Dallas,572971,White Sox,CWS,L,87.7,1029,2726,16.82716049382716,0.3774761555392516,SIFT,Sinker,30.1,-25.3,4.8,19,14.7,-14,0.7,5,0.9385245901639344,0.569672131147541
2021,Greinke, Zack,425844,Astros,HOU,R,88.9,1025,2577,15.907407407407407,0.39774932091579357,FF,4-Seamer,18,-17.1,-0.9,-5,1.3,-6.1,-4.8,-79,0.334916864608076,0.047505938242280284
2021,Anderson, Ian,666120,Braves,ATL,R,94.6,1024,2175,13.509316770186336,0.4708045977011494,FF,4-Seamer,13.2,-13.6,0.5,4,5.4,-6.6,-1.2,-19,0.6199524940617577,0.33016627078384797
2021,Odorizzi, Jake,543606,Astros,HOU,R,92.2,1013,1847,11.401234567901234,0.5484569572279372,FF,4-Seamer,15.6,-15.8,0.2,1,11.4,-7.3,4.1,56,0.5629453681710214,0.9121140142517815
2021,Akin, Keegan,669211,Orioles,BAL,L,92,1009,1768,10.91358024691358,0.5707013574660633,FF,4-Seamer,14.4,-15.9,1.5,9,10.7,-7.3,3.4,47,0.831353919239905,0.8527315914489311
2021,Wood, Alex,622072,Giants,SF,L,91.8,1002,2195,13.549382716049383,0.45649202733485195,SIFT,Sinker,20.9,-25.1,-4.2,-17,16,-15.2,0.8,5,0.09016393442622951,0.5942622950819673
2021,Fedde, Erick,607200,Nationals,WSH,R,93.9,998,2410,14.876543209876543,0.4141078838174274,SIFT,Sinker,20.9,-20.3,0.6,3,10.1,-14.4,-4.3,-30,0.6352459016393442,0.01639344262295082
2021,Smyly, Drew,592767,Braves,ATL,L,92.1,998,2139,13.285714285714286,0.46657316503038804,FF,4-Seamer,14.1,-14.8,0.7,5,6.8,-6.3,0.5,9,0.672209026128266,0.5463182897862233
2021,Yarbrough, Ryan,642232,Rays,TB,L,81.9,996,2488,15.358024691358025,0.4003215434083601,FC,Cutter,34.5,-34.6,0.1,0,2.1,2.5,-0.4,-15,0.544,0.424
2021,Fried, Max,608331,Braves,ATL,L,94,995,2558,15.888198757763975,0.388975762314308,FF,4-Seamer,18.1,-14.5,-3.6,-25,1.3,-6.9,-5.6,-81,0.05938242280285035,0.0332541567695962
2021,Smith, Caleb,592761,D-backs,ARI,L,91.4,994,2067,12.75925925925926,0.48089017900338654,FF,4-Seamer,14.9,-15.9,0.9,6,11.5,-6.9,4.6,67,0.7197149643705463,0.9334916864608076
2021,Dunning, Dane,641540,Rangers,TEX,R,90.4,990,1909,11.783950617283951,0.5185961236249346,SIFT,Sinker,27,-23.8,3.2,13,14.5,-14.6,0,0,0.8688524590163934,0.4180327868852459
2021,Mahle, Tyler,641816,Reds,CIN,R,86.7,989,3196,19.728395061728396,0.3094493116395494,SL,Slider,29.1,-34,-4.8,-14,2.8,5,-2.2,-44,0.032432432432432434,0.2945945945945946
2021,Gibson, Kyle,502043,Phillies,PHI,R,92.3,979,2881,17.78395061728395,0.3398125650815689,SIFT,Sinker,24.5,-20.9,3.6,17,14.9,-14.2,0.7,5,0.9057377049180327,0.569672131147541
2021,Ray, Robbie,592662,Blue Jays,TOR,L,88.6,965,3141,19.38888888888889,0.3072269977714104,SL,Slider,27.6,-31.6,-4,-13,1,3.6,-2.6,-73,0.07837837837837838,0.24324324324324326
2021,Gray, Jon,592351,Rockies,COL,R,86.7,965,2537,15.75776397515528,0.38037051635790303,SL,Slider,32.7,-33.9,-1.2,-4,2.6,4.6,-2,-43,0.34324324324324323,0.3108108108108108
2021,Ryu, Hyun Jin,547943,Blue Jays,TOR,L,89.9,964,2689,16.598765432098766,0.3584975827445147,FF,4-Seamer,20.9,-17,-4,-23,12,-6.6,5.4,82,0.04275534441805225,0.9714964370546318
2021,Allard, Kolby,663465,Rangers,TEX,L,91.5,962,2054,12.679012345679013,0.46835443037974683,FF,4-Seamer,15.7,-16.7,1,6,7.9,-7.9,-0.1,-1,0.7339667458432304,0.4489311163895487
2021,Espino, Paolo,502179,Nationals,WSH,R,89,957,1735,10.709876543209877,0.5515850144092219,FF,4-Seamer,15.4,-17.7,2.4,13,3.5,-6.6,-3.1,-47,0.9429928741092637,0.166270783847981
2021,Castillo, Luis,622491,Reds,CIN,R,88.3,953,3164,19.530864197530864,0.30120101137800254,CH,Changeup,34.1,-32.3,1.8,5,16.8,-16,0.8,5,0.7294520547945206,0.613013698630137
2021,Urías, Julio,628711,Dodgers,LAD,L,81.4,952,2786,17.19753086419753,0.3417085427135678,CUKC,Curveball,42.3,-49.5,-7.2,-15,15.8,8,7.8,97,0.06719367588932806,0.9960474308300395
2021,McCullers Jr., Lance,621121,Astros,HOU,R,93.9,948,2788,17.209876543209877,0.3400286944045911,SIFT,Sinker,24.9,-22.8,2.1,9,13.7,-15.2,-1.5,-10,0.7622950819672131,0.21311475409836064
2021,Anderson, Tyler,542881,Mariners,SEA,L,90.6,947,2602,16.061728395061728,0.3639508070714835,FF,4-Seamer,15.1,-16.5,1.4,8,8.9,-6.9,2,28,0.8218527315914489,0.7315914489311164
2021,Darvish, Yu,506433,Padres,SD,R,86.6,940,2769,17.09259259259259,0.339472733838931,FC,Cutter,34.4,-29.1,-5.3,-18,4.9,2.9,2.1,72,0.064,0.84
2021,Giolito, Lucas,608337,White Sox,CWS,R,81.5,940,2970,18.333333333333332,0.3164983164983165,CH,Changeup,28.1,-30.7,-2.5,-8,10.2,-12.1,-1.9,-16,0.23972602739726026,0.1678082191780822
2021,Woodruff, Brandon,605540,Brewers,MIL,R,96.5,939,2810,17.34567901234568,0.33416370106761567,FF,4-Seamer,12.7,-13.4,0.7,5,6.3,-7.7,-1.3,-17,0.672209026128266,0.32066508313539194
2021,Berríos, José,621244,Blue Jays,TOR,R,82.9,927,3043,18.78395061728395,0.30463358527768647,CUKC,Curveball,43.6,-48.2,-4.6,-9,15,9.9,5.2,52,0.1383399209486166,0.9407114624505929
2021,Arrieta, Jake,453562,Padres,SD,R,91.4,926,1746,10.777777777777779,0.5303550973654066,SIFT,Sinker,24,-22.7,1.2,5,15.8,-14.7,1.1,8,0.7008196721311475,0.6721311475409836
2021,Pineda, Michael,501381,Twins,MIN,R,90.6,923,1707,10.537037037037036,0.5407147041593439,FF,4-Seamer,19,-15.8,-3.2,-20,6.5,-6,0.5,8,0.07838479809976247,0.5463182897862233
2021,Kikuchi, Yusei,579328,Mariners,SEA,L,95.1,918,2562,15.814814814814815,0.3583138173302108,FF,4-Seamer,14,-14.4,0.4,3,10.1,-7.9,2.2,28,0.5938242280285035,0.7529691211401425
2021,Plesac, Zach,668676,Indians,CLE,R,92.8,915,2205,13.61111111111111,0.41496598639455784,FF,4-Seamer,14.7,-15.2,0.6,4,8.7,-7,1.8,25,0.6508313539192399,0.7030878859857482
2021,Cease, Dylan,656302,White Sox,CWS,R,85.9,903,2957,18.253086419753085,0.30537707135610415,SL,Slider,38.1,-35,3.1,9,6.9,4.5,2.4,54,0.8135135135135135,0.7972972972972973
2021,Walker, Taijuan,592836,Mets,NYM,R,94.5,901,2547,15.722222222222221,0.353749509226541,FF,4-Seamer,13.5,-14,0.5,4,9.4,-6.7,2.8,42,0.6199524940617577,0.8052256532066508
2021,Castillo, Luis,622491,Reds,CIN,R,97.1,898,3164,19.530864197530864,0.2838179519595449,FF,4-Seamer,16.2,-15.1,-1.1,-7,11.3,-9.5,1.8,19,0.2921615201900237,0.7030878859857482
