last_name, first_name,player_id,year,p_era,xba,fastball_avg_spin,breaking_avg_spin,
Gilbreath, Lucas,656458,2021,3.38,.197,2424,2439,
Ginkel, Kevin,656464,2021,6.35,.249,2385,2272,
Hentges, Sam,656529,2021,6.68,.271,2148,2350,
Hoffman, Jeff,656546,2021,4.56,.236,2467,2537,
Holloway, Jordan,656548,2021,4.00,.202,2170,2266,
Houck, Tanner,656557,2021,3.52,.196,2093,2546,
Jackson, Andre,656578,2021,2.31,.209,2225,2079,
Keller, Mitch,656605,2021,6.17,.267,2351,2466,
Klobosits, Gabe,656620,2021,5.56,.237,2183,2534,
Kopech, Michael,656629,2021,3.50,.180,2583,2466,
Lange, Alex,656638,2021,4.04,.258,2338,2104,
Martin, Brett,656685,2021,3.18,.255,2176,2198,
Martin, Corbin,656686,2021,10.69,.323,2348,2422,
Megill, Trevor,656730,2021,8.37,.251,2419,2683,
Megill, Tylor,656731,2021,4.52,.221,2153,2133,
Montgomery, Jordan,656756,2021,3.83,.248,2257,2246,
Nelson, Nick,656793,2021,8.79,.219,2070,2554,
Newcomb, Sean,656794,2021,4.73,.222,2416,2878,
Overton, Connor,656818,2021,4.70,.252,2212,2393,
Peterson, David,656849,2021,5.54,.278,2075,2226,
Rasmussen, Drew,656876,2021,2.84,.238,2438,2654,
Reid-Foley, Sean,656887,2021,5.23,.246,2139,2220,
Scott, Tanner,656945,2021,5.17,.229,2573,2666,
Sheffield, Justus,656954,2021,6.83,.301,2034,2570,
Solomon, Peter,656981,2021,1.29,.226,2191,2067,
Steele, Justin,657006,2021,4.26,.227,2486,2687,
Swanson, Erik,657024,2021,3.31,.208,2303,2348,
Taylor, Josh,657031,2021,3.40,.238,2234,2264,
Thompson, Ryan,657044,2021,2.38,.226,2053,2130,
Toussaint, Touki,657053,2021,4.50,.271,2182,2348,
Watkins, Spenser,657093,2021,8.07,.258,2289,2321,
Webb, Jacob,657097,2021,4.19,.224,2418,2605,
Jewell, Jake,657228,2021,9.90,.255,2056,2153,
Merryweather, Julian,657240,2021,4.85,.244,2262,2285,
Otto Jr., Glenn,657248,2021,9.26,.280,2186,2494,
Webb, Logan,657277,2021,3.03,.230,1957,2688,
Baumann, Mike,657508,2021,9.90,.345,2093,2267,
Hill, Tim,657612,2021,3.62,.229,2198,2125,
Ryan, Joe,657746,2021,4.05,.153,2169,2262,
Garcia, Edgar,658305,2021,12.27,.275,2051,2235,
Fernandez, Junior,658551,2021,5.66,.298,2171,2037,
Lamet, Dinelson,659275,2021,4.40,.223,2424,2455,
Ohtani, Shohei,660271,2021,3.18,.207,2227,2353,
Yang, Hyeon-Jong,660365,2021,5.60,.296,2168,2382,
Diaz, Yennsy,660546,2021,5.40,.243,1996,2216,
Paredes, Enoli,660600,2021,6.23,.207,2390,2954,
Ynoa, Huascar,660623,2021,4.05,.248,2147,2425,
Suarez, Jose,660761,2021,3.75,.243,2163,2756,
Graterol, Brusdar,660813,2021,4.59,.263,2098,2521,
De Los Santos, Enyel,660853,2021,6.37,.236,2193,2033,
Alcala, Jorge,660896,2021,3.92,.223,2324,2435,
Lopez, Yoan,661255,2021,6.57,.307,2204,2546,
Gutierrez, Vladimir,661269,2021,4.74,.251,2168,2502,
Clase, Emmanuel,661403,2021,1.29,.200,2579,2550,
Gil, Luis,661563,2021,3.07,.199,2445,2471,
Burrows, Beau,663366,2021,13.91,.349,2194,2234,
Waddell, Brandon,663399,2021,6.75,.325,2343,2496,
Thornton, Trent,663423,2021,4.78,.258,2414,3013,
Rainey, Tanner,663432,2021,7.39,.199,2399,2334,
Bubic, Kris,663460,2021,4.43,.256,2073,2619,
Allard, Kolby,663465,2021,5.41,.266,2147,1896,
McKenzie, Triston,663474,2021,4.95,.210,2250,2151,
Allen, Logan,663531,2021,6.26,.294,1983,2574,
Mize, Casey,663554,2021,3.71,.245,2106,2225,
McClanahan, Shane,663556,2021,3.43,.250,2253,2477,
Falter, Bailey,663559,2021,5.61,.242,1766,1877,
Santillan, Tony,663574,2021,2.91,.206,2105,2353,
Neidert, Nick,663734,2021,4.54,.264,2071,2112,
Lynch, Daniel,663738,2021,5.69,.287,2102,2040,
Knehr, Reiss,663753,2021,4.97,.262,2372,2233,
Woodford, Jake,663765,2021,3.99,.265,2092,2468,
Evans, Demarcus,663770,2021,5.13,.207,2463,2264,
Sandoval, Patrick,663776,2021,3.62,.218,1997,2685,
Kowar, Jackson,663804,2021,11.27,.300,2193,2280,
Pearson, Nate,663878,2021,4.20,.189,2201,2572,
Singer, Brady,663903,2021,4.91,.258,2271,2393,
Paddack, Chris,663978,2021,5.07,.274,2210,2185,
Stephan, Trevor,663986,2021,4.41,.244,2378,2553,
Lovelady, Richard,663992,2021,3.48,.191,2445,2628,
Lakins Sr., Travis,664042,2021,5.79,.245,2322,2721,
Eshelman, Thomas,664045,2021,7.16,.280,1843,1887,
Stashak, Cody,664054,2021,6.89,.218,2210,2204,
Gonsolin, Tony,664062,2021,3.23,.202,2379,2603,
Ponce, Cody,664074,2021,7.04,.269,2278,2233,
Cleavinger, Garrett,664076,2021,3.00,.216,2291,2717,
Poppen, Sean,664092,2021,5.16,.286,2016,2195,
Effross, Scott,664123,2021,3.68,.205,2242,2481,
Fairbanks, Pete,664126,2021,3.59,.196,2394,2378,
Hartlieb, Geoff,664129,2021,11.00,.227,2363,2507,
Brubaker, JT,664141,2021,5.36,.252,2222,2683,
Lucchesi, Joey,664192,2021,4.46,.193,2198,2080,
Clarke, Taylor,664199,2021,4.98,.257,2204,2181,
Maton III, Phil,664208,2021,4.73,.209,2495,2924,
Valdez, Framber,664285,2021,3.14,.230,2172,2873,
Javier, Cristian,664299,2021,3.55,.219,2341,2626,
Yajure, Miguel,664337,2021,8.40,.306,2403,2523,
Urquidy, Jose,664353,2021,3.62,.244,2213,2510,
Newsome, Ljay,664714,2021,7.98,.275,2036,2218,
Cousins, Jake,664776,2021,2.70,.176,2164,2583,
Helsley, Ryan,664854,2021,4.56,.239,2497,2508,
Lawrence, Justin,664875,2021,8.64,.248,2349,2789,
Keller, Kyle,664918,2021,6.48,.218,2308,2515,
Misiewicz, Anthony,664948,2021,4.61,.253,2326,2859,
Kremer, Dean,665152,2021,7.55,.278,2356,2389,
Castro, Kervin,665645,2021,0.00,.244,2274,1969,
Cabrera, Edward,665795,2021,5.81,.283,2262,2382,
Oviedo, Luis,665854,2021,8.80,.256,2200,2237,
Anderson, Ian,666120,2021,3.58,.240,2046,1896,
Garrett, Braxton,666129,2021,5.03,.298,2113,2259,
Manning, Matt,666159,2021,5.80,.286,2014,2209,
Thompson, Mason,666168,2021,4.01,.263,2214,2209,
Luzardo, Jesus,666200,2021,6.61,.255,2251,2233,
Manoah, Alek,666201,2021,3.22,.199,2274,2246,
Muller, Kyle,666205,2021,4.17,.216,2435,2214,
Doval, Camilo,666808,2021,3.00,.199,2574,2511,
Nance, Tommy,667297,2021,7.22,.257,2298,2763,
Sanchez, Miguel,667376,2021,4.15,.262,2227,2274,
King, John,667463,2021,3.52,.232,1979,2454,
Dugger, Robert,667498,2021,7.36,.299,2092,2234,
Tyler, Kyle,667725,2021,2.92,.198,2140,2220,
Plesac, Zach,668676,2021,4.67,.255,2048,1985,
Gallen, Zac,668678,2021,4.30,.230,2314,2450,
Scrubb, Andre,668687,2021,5.03,.260,2360,2714,
Kranick, Max,668820,2021,6.28,.237,2136,2147,
Wilson, Bryse,669060,2021,5.35,.285,2018,2287,
Zimmermann, Bruce,669145,2021,5.04,.294,2325,2513,
May, Dustin,669160,2021,2.74,.206,2385,3176,
Heasley, Jon,669169,2021,4.91,.296,2262,2624,
Burnes, Corbin,669203,2021,2.43,.180,2734,2865,
Akin, Keegan,669211,2021,6.63,.263,2337,2248,
Morgan, Eli,669212,2021,5.34,.263,2220,2327,
Menez, Conner,669214,2021,3.86,.262,2164,2110,
Campbell, Paul,669294,2021,6.41,.265,2475,2603,
Gilbert, Logan,669302,2021,4.68,.242,2200,2240,
Wells, Tyler,669330,2021,4.11,.223,2429,2499,
Skubal, Tarik,669373,2021,4.34,.267,2152,2097,
Lambert, Jimmy,669424,2021,6.23,.310,2054,2392,
Rogers, Trevor,669432,2021,2.64,.223,2375,2115,
Bieber, Shane,669456,2021,3.17,.224,2359,2519,
Barlow, Joe,669618,2021,1.55,.203,2256,2188,
Bender, Anthony,669622,2021,2.79,.205,2257,2486,
Long, Sammy,669674,2021,5.53,.237,2104,2437,
Rodriguez, Chris,669735,2021,3.64,.217,2093,2436,
Alexy, A.J.,669935,2021,4.70,.278,2218,2407,
White, Mitch,669952,2021,3.66,.230,2352,2363,
Baragar, Caleb,670056,2021,1.57,.221,2363,2678,
Mills, Wyatt,670090,2021,9.95,.291,1928,2501,
Bednar, David,670280,2021,2.23,.185,2286,2460,
Hammer, JD,670456,2021,4.95,.228,2302,2583,
Oviedo, Johan,670912,2021,4.91,.272,2257,2501,
Richards, Trevor,670950,2021,3.50,.210,2185,2054,
Uceta, Edwin,670955,2021,6.64,.231,2349,2418,
Ramirez, Yohan,670990,2021,3.90,.175,2312,2437,
Detmers, Reid,672282,2021,7.40,.263,2078,2287,
Perez, Cionel,672335,2021,6.38,.209,2107,2611,
Hernandez, Carlos,672578,2021,3.68,.234,2371,2228,
Patino, Luis,672715,2021,4.31,.243,2412,2530,
Guenther, Sean,674944,2021,9.30,.276,2233,2421,
Lowther, Zac,675912,2021,6.67,.294,2206,2609,
Karinchak, James,675916,2021,4.07,.186,2309,2295,
Howard, Spencer,675921,2021,7.43,.248,2147,1984,
Naughton, Packy,676050,2021,6.35,.275,2042,2225,
Heuer, Codi,676051,2021,4.28,.254,2366,2079,
Junk, Janson,676083,2021,3.86,.296,2357,2477,
Elledge, Seth,676220,2021,4.63,.249,2275,2375,
Abbott, Cory,676265,2021,6.75,.266,2320,2315,
Bettinger, Alec,676424,2021,13.50,.323,2106,2317,
Whitlock, Garrett,676477,2021,1.96,.211,2099,1948,
Fleming, Josh,676596,2021,5.09,.278,1813,1794,
Zuber, Tyler,676604,2021,6.26,.288,2231,2676,
Margevicius, Nick,676606,2021,8.25,.277,2176,2053,
Vest, Will,676684,2021,6.17,.288,1989,2378,
Whitley, Kodi,676831,2021,2.49,.207,2248,2027,
Peacock, Matt,676840,2021,4.90,.268,2045,2637,
Ashby, Aaron,676879,2021,4.55,.181,1990,2553,
de Geus, Brett,676969,2021,7.56,.282,2067,2351,
Crochet, Garrett,676979,2021,2.82,.216,2331,2250,
Garcia, Luis,677651,2021,3.48,.236,2362,2327,
Bruihl, Justin,677865,2021,2.89,.254,2317,2379,
Weathers, Ryan,677960,2021,5.32,.278,2071,2212,
Dobnak, Randy,677976,2021,7.64,.322,1944,2428,
Gray, Josiah,680686,2021,5.48,.219,2254,2278,
Sandlin, Nick,680704,2021,2.94,.156,2252,2684,
Wantz, Andrew,681806,2021,4.94,.227,2376,2389,
Warren, Austin,681810,2021,1.77,.189,2228,2574,
Vesia, Alex,681911,2021,2.25,.140,2366,2432,
Mears, Nick,683232,2021,5.01,.248,2181,2299,
Arihara, Kohei,685503,2021,6.64,.305,2124,2201,
